time,text,location,userid,screenname,retweetcount
2019-05-10 02:10:38,"b'@the_hindu Yes they will win but not as in 14, its coz of no strong opposition leader\n#rahulgandhi seems joke for nation.\n#Congress sud choose leader from non #gandhifamily. #Rahulgandhi\xe2\x80\x99s character is assassinate by #media so people think he is joke\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbb'","itanagar, arunachal pradesh",249069501,GOJENMIGI,0
2019-05-07 07:03:05,"b""My 1 comment on corruption of a former PM has riled #Congress eco-system so much but constant,below the belt remarks on a sitting PM,his family,his poverty have no effect on them!\nConstant badmouthing of historical greats by 1 Dynasty doesn't affect them either!\n-@NarendraModi ji https://t.co/icXUB7C3R2""","Sibsagar, India",467947246,nanglucky,3
2019-05-05 15:18:17,"b""@Mohansinha It's high time for a wise #Congress man/woman to stand up and say he/she is ashamed to be a #congressi""","Assam, India",31375562,harpal28,1
2019-05-05 11:02:32,"b'@RavinarIN @vschanna @IndiaToday @ndtv @republic @TimesNow This issue of @IndiaToday must be the most profitable, each page paid by #Congress as an advertisement \xf0\x9f\x98\x82'","Assam, India",31375562,harpal28,10
2019-05-10 02:10:38,"b'@the_hindu Yes they will win but not as in 14, its coz of no strong opposition leader\n#rahulgandhi seems joke for nation.\n#Congress sud choose leader from non #gandhifamily. #Rahulgandhi\xe2\x80\x99s character is assassinate by #media so people think he is joke\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbb'","itanagar, arunachal pradesh",249069501,GOJENMIGI,0
2019-05-06 05:35:43,b'#RahulGandhi #Gauravgogoi  Thank you Mani Sahnkar ayar for his remark as C',"North Lakhimpur, Assam",1401860016,h_munim,0
2019-05-11 06:39:07,b'@BorahBedabrata @pran_en If you criticize Congress in comparison to AAP then I will be all for it. For me BJP is the worst.',"Jorhat, Assam",895046636,rahman_afreen,0
2019-05-11 04:48:37,"b""@nanditathhakur @RahulGandhi @PMOIndia Bad working doing only two man kill them.But\nWhy killing thougen people in Punjab??\nThat wasn't a good decision of Congress government.""","Dibrugarh, India",1002909216716148736,Mukutdihingia1,0
2019-05-11 04:18:04,b'@BorahBedabrata @pran_en Yes we have a long list from both parties. But Congress was punished for their roles in riots. They were thrown out of UP and Bihar. But BJP was rewarded in Gujarat. Modi became the PM of India.',"Jorhat, Assam",895046636,rahman_afreen,0
2019-05-11 03:56:06,"b'@BorahBedabrata @pran_en BJP indulges in the same duplicity. If Congress were responsible for SiKh riots (which I saw with my own eyes as I was in Indore in 1984), BJP responsible for Gujarat, Mujaffarnagar and many more.'","Jorhat, Assam",895046636,rahman_afreen,0
