tweet,sentiment
bjp game,0
new po modi wave like bjp lo raj thackeray,1
smritiirani respect madam plea help da peramilitari forc provid defen forc benefit becau peramilitari foot foot watch secur congrat new govern mr pm narendra modi sir love bjp jai hind,1
rifatjawaid bjp lose seat gujarat lo clean sweep previous,1
nephew leav cr park new delhi ls cousin brother leav rohini nwd ls kalkaji sd ls okhla ed ls de observ dat poor amp lower middl cla support aap ak good work delhi middl amp upper cla vote bjp cong nation inter,1
mp udit raj join parti presenc chief rahulgandhi drop bjp delhi candid li,1
lkm proudlyright think bjp raiganj darjeel balurghat tight alipurduar coochbehar north malda,0
new delhi constitu congr win defeat bjp upto calcutta via patna new delhi varana pm wast time look ea,1
singhanidr indiatoday boxervijend mail today differ opinion freedom vote candid parti choic beauti secular democraci everi citizen vote good nation stabilti alway good nationali amp patrioti common live mind amp heart peopl catchi bjp rss slogan,1
coolfunnytshirt yup fact remain would al vote bjp secret ballot,0
mlkhattar cmohri bjp total palwal improv g road palwal municip bjp degarad palwal day day action market problem instead repair street light pole permanemtli remov darkn market,1
arungiri know abt victori yet sure officialurmila give sleepl night bjp sr bjp leader area told never thought den face tough battl officialurmila talk name everi hou hold north mumbai,1
pragya thakur clear accus malegain terror bomb clear flag bearer hindu terrori give bjp ticket ls poll support saffron terror explain,1
ani guy tri loot amp bribe businessmen great scam free bjp govt kick udit raj one way join hand scamstar rahul gandhi hahaha republ timesnow,1
prakashjavdekar sir high speaker bjp peramilitari forc ke benefit ke bare mai modi sir see bat kro yeah kamm bjp hi kr sakyi h congrat next pm mr narendra modi love next govern hamar bhi pariwar h unki jarurt h jo ghandhi ji ke noto,1
good peopl join bjp serv nation,1
suddenli decid join hand modi call commun today bjp leader cadr tru backward voter tru overal run embarass campaign lose cool one decis spoil entir credibl lesson neta,1
bjp win al count victori persist innov market know big budget never seen brand come mani new innov market liter everi second day,1
prakashgaba lie like namo lie india let fir wait result bjp declar pm candid doe mean elect name pm candid elect alway fought local point local candid etc otherwi crimin moron reach parliament,1
modi time meet famou celebr time meet poor farmer common peopl resent go expens bjp keep modi bag readi vote done lok sabha seat bjp win seat,1
bhargav gn shenoymaaam hand raj sc ticket gambhir becau mahe giri lead bjp state elect next year think,1
babu monserr take bjp upcom panjim bypol held may incgoa offici announc today bjp like field utpal manoharparrikar son aapgoa announc valmikinaik candid indianexpr,1
arungiri mumbai north possibl bjp strong,1
bjp elect issu clear nation secur transform billion indian live make india top global economi enhanc india global stand see india super power strengthen democraci amitshah,1
arungiri mani vote praka ambedkar time mo want modi al vote pa show incumb mp liabil bjp much co,1
ask cm campaign mumbai wi decis may prospect bjp whole mmr issu take centr place,1
roali collegeblu imsalmansam narendramodi oh ok selfi get point view tend help other care despit directli affect around ju want peopl consist ju keep blame bjp shut eye other,1
delhi voter follow plea consult vote tell candid posit defeat bjp constitu,1
right congr manifesto score bjp,1
even rahul gandhi secret marriag problem better modi left wife without divorc modi talk muslim ladi tripl takaaq bjp modi mu explain fir wife talk over ither,1
nithinspeak huge support agraharam though visit yesterday look beyond sabarimala see development activ pkd bjp man face strong resist resid associ gener udf guy well sure mani even know,1
daarubaazmehta mere sath ya bjp ke saath,0
rahulgandhi ju rememb venezuela crisi govt offer citizen free day u cannot imagin situat countri wor even piec bread want fight freebi alway danger countri economi dont vote mental abnorm rahul vote namo,1
rubikaliyaquat good moron given ticket bjp gt,0
lok sabha elect bjp congr candid bet stake credibl govern ruchirjgarg patrakarvinod chhattisgarhcmo sinhataran bhupeshbaghel,1
rifatjawaid tough go bjp mumbai al milind deora priya duti other r sure winner nagpur al tough proposit per voter mahaghatban seem well one remind india shin predictionsw six nda lo,0
sushmahabala funni thing self proclaim imparti pollster outcom alway constant bjp win bhakt masquerad expert perfect fit republick studio,1
h nair serious rajthackeray crack everi lie bjp cell inde make citizen awar choo dictatorship democrat elect,1
ashuto b modi govt got full support peopl india bocz peopl india place tru bjp modi ji new initi develop programm acro countri peopl india poll bjp modi,1
lok sabha elect bjp mp udit raj join congr presenc rahul gandhi rahulgandhi incindia,1
aitcoffici modi sarkar bjp lifetim ok,1
elect bjp give tough competit bjd mp bjd loksabha,1
hatr muslim peopl need introduct india vordotcom narendramodi bjp india shame fuck bjp terrori minist,0
sure either bjp wl get exact seat nda wl get seat save,1
sanjukta kunalkamra anchor us real pidi promotor parti fight bjp,1
iamiconocla elect seem maharatra fair well bjp,1
statement given show mental think muslim hindu never terrori amit shah back pragya thakur mr amit shah terrori religion cast illiter person,0
schr chowkidar bjp left udit raj cold great behind scene report abhinavrt mu read interview boxervijend sourav rb,0
arungiri bjp lo akola face washout vidarbha bz akola mo polar seat time mp unpopular ju vote time bcoz option peopl think ionli hindu candid race vote chang bjp get seat loksbha,1
rssurjewala modi sarkar bjp new india ye,1
bjp new start busin everi hospit cow shed cow heal nitiayog will possibl fund mudra loan elect time announc nitiayogi understood,1
squirrel soul dr uditraj great leader stood independ opposit candid would withdrawn candidatur left bjp becau selfi inter seat selfl person,1
sumit chowkidar raha bjp win jalgaon,1
singh biswajeet alway felt guard come critic bjp creat hawa bjp pre poll care sugar coat view phase go along tri compens toward end balanc act quit sad chap,0
vamsichandran suryawanshi coolfrnd u officialurmila bjp india everywher brahmin vote bjp mostli enough say cast base vote exi,0
bjp mp udit raj join congr presenc congr presid rahul gandhi udit raj didnot get ticket time bjp northw delhi hansrajhan declar candid bjp yesterday udit raj accus bjp ignor dalit newshtn,1
vivsaraf al look like bjp pretti well kerala mayb seat possibl nd posit anoth odd seat,0
