time,text,location,userid,screenname,retweetcount
2019-04-22 09:05:11,"b""@TimesNow #Congress,#RahulGandhi,#BJP ,#NarendraModi,#democracy,#LokSabhaElections2019,#LokSabhaElections  \nTo gain mere political advantages, for their petty political agenda, these political parties are ready to put nation's security at stake. Shame on you RG, Shame on you Congress.....""","Sitamarhi, India",393432489,drachintya,0
2019-04-22 09:00:32,"b'@republic #CongAdmitsJhoot \nRaGa admits #jhooth in SC, it is a Counter blast Slap on #Congress. He has been telling lie since months only to defame #PMModi and has proved himself  a real #Pappu. #Congress pays hefty loss in seats in coming polls.'",Patna,802407557637640192,DeepakkBharat,0
2019-04-22 08:34:05,"b""@narendramodi @PMOIndia\n #BJP must immediately find  a catch up for #Congress' #NYAY. Or else, fight will be much tougher.\nA common man's suggestion. It's up to #PartyLeadership  of BJP to pay heed or not .""","Patna,India",608929941,Professor_Jha,0
2019-04-22 03:00:51,"b'@RahulGandhi how can we rely on your promises\n1. No farm loan waiver in 10 days\n2. money for #NYAYForIndia is being recovered from MP and KARNATAKA\n3. No stipend to Unemployed youth promised by @INCIndia \nOnly promises to gain votes, no work on ground\n#Congress \n#RahulVinci'","Mau, Uttar Pradesh",922539822283026433,Yogesh_mau,0
2019-04-21 20:00:07,"b'https://t.co/HBLklZ4mN2\n#Congress #Liberals #traitors in #india . This video reveals the face of traitors existing in India. If democracy feeds you #traitors , our criticism will kill you soon.'","Patna, India",3219124868,SManishB,2
2019-04-21 18:21:38,b'Once #PriyankaGandhi joins active  politics by joining electoral fray  #RaGa will quickly fade away from politics. #Congress ppl and sympathisers  will be much   happier.',"Patna,India",608929941,Professor_Jha,0
2019-04-21 14:17:48,"b""@VickyAarya007 @narendramodi @RahulGandhi @INCIndia @INCIndiaLive @priyankagandhi @rssurjewala @digvijaya_28 @sherryontopp #Congress need one more bornol \xf0\x9f\x98\x9c\xf0\x9f\x98\x9d\n.\n.\nBut tell the #chamche and #Congress it will be Soon in market.\nThey're consuming it so fast \xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#CongressMuktBharat \n#AayegaTohModiHi \n#AayegaToModiHi \n#ModiHiAayega""","Patna, India",1024119072940650497,87_Wolverine,0
2019-04-21 13:02:41,"b'@aajtak @manjeet_sehgal #Congress,#BJP Very critical time for Indian democracy. Sanctity of SECULARISM in National Politcal Party in jeopardy? If you please Muslim by such slogan, are you secular? Is it???\nHow confidence of common people be restored? This is sad predicament for our political parties'","Sitamarhi, India",393432489,drachintya,0
2019-04-21 09:53:29,"b""Congress once again falling in trap of BJP. Cunning duo has laid a trap by fielding this notorious Pragya. All attention being diverted to very simple theory of desh bhakt. Let's talk only of unemployment, Economy nd farmer issues. #congress @INCIndia @sardesairajdeep @LambaAlka""","Patna, India",180763953,Lalit1110,0
2019-04-21 07:38:07,b'This is a well known thing.\n\nEvery problem in #India has roots in #Congress policies\xe2\x80\x99: The #PinarayiVijayan interview\n#colombo\n\n#IndiaWantsModiAgain\n#LokSabhaElections2019\n#ElectionsWithTimes\nhttps://t.co/vMZOi1xj4J',"Bihar, India",1376016756,kmrbrajesh,1
2019-04-21 07:22:14,b'@UnSubtleDesi @TarekFatah Everyone Knows except Hindus that #Congress is #IslamicParty',"Pratapgarh, India",743637728730873858,Somvanshi76,0
2019-04-21 06:50:07,b'Now Mrs puppy is playing  emotionally  game in Kerala giving the  duhaie  of #Rajeev  and dictatress  @indira  assassination  to gain sympathy  of poeple  but people  will be not befool by her   #emotionally #puppy@directionless #congress Wii  leads to destruction',patna,1108596576681811969,chaukidar_rao,0
