time,text,location,userid,screenname,retweetcount
2019-05-01 08:45:59,b'Now can u please tell me @priyankagandhi what has #Congress done in 60 years????????',"Pune, India",3750272845,saaransh1712,0
2019-05-01 08:29:58,b'@RahulGandhi @priyankagandhi Party of #gandhi &amp; #nehru reduced to  this. Wah re #votekatua party. May god bless #congress with more such descent! https://t.co/o8mFv1YHj2',Pune,41552522,adityanlive,0
2019-05-01 03:00:39,"b""@Sanginamby #Congress 's blame of breaking code of conduct by #Modi &amp; #Shah is as frivolous as #RahulCitizenship by #BJP""","Pune, latur ",586389588,omkak55,0
2019-05-01 02:38:09,"b'NSE #Stock_Market_Scam #News \nThe National Stock Exchange #NSE is caught in #Scam of almost 625 Crores, and this took place in in the year 2011 to 2014. Do You know, which #Government was ruling india then?? Its #Congress. \nThe NSE allowed some movers &amp; s\xe2\x80\xa6https://t.co/kMsVaK046s'",Pune,94306773,thesharang,0
2019-04-30 21:16:55,"b'WTF, Centre me Aa gayi #Congress https://t.co/wbiFk5tsM9'","Pune, India",896411684322951168,Amarpatil220298,0
2019-04-30 18:34:16,b'@RituRathaur @priyankagandhi @narendramodi This is real face of #Congress who being let down every PM of Bharat &amp; freedom fighters except Nehru &amp; Gandhi',"Pune, latur ",586389588,omkak55,0
2019-04-30 18:25:34,"b""@dhume #Congress 's blame of breaking code of conduct by #Modi &amp; #Shah is as frivolous as #RahulCitizenship by #BJP""","Pune, latur ",586389588,omkak55,0
2019-04-30 14:42:05,"b""Wife: Come home early, we shall plan a movie.\n\nHusband: If I'm not able to come early?\n\nWife: if you come early you will be welcomed by #BJP s symbol, if you are late then will welcome u by #Congress symbol, if you are too late then will welcome by #AAP symbol.\n\nChoice is yours\xf0\x9f\x91\x8d""","Pune, India",310220829,arunkondpalle,0
2019-04-30 14:42:04,b'@vivekagnihotri @BJP4India @sambitswaraj @AnupamPKher @smritiirani \nSuch a pathetic #Congress leader and they claim themselves from elite family. @BJP4India should take action against these kind of acts. \xf0\x9f\x98\xa1\n#ShameOnYou\n@RahulGandhi - we dare you to prove yourselves by taking action against this.',Pune,109740428,narenwaghe,0
2019-04-30 14:41:17,"b""Curious case of Rahul Gandhi's nationality: #Congress' 'explanation' opens a pandora's box, raises more questions than answers https://t.co/lykay9b7id""","Pune, Bharat.",149084128,ShekharGokhale,0
2019-04-30 11:35:59,"b""Nirbhaya's Brother Now A Pilot, Parents Say 'Rahul Gandhi Made It Happen' - NDTV #Congress #BJP_\xe0\xa4\xad\xe0\xa4\x97\xe0\xa4\xbe\xe0\xa4\x93_\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6_\xe0\xa4\xac\xe0\xa4\x9a\xe0\xa4\xbe\xe0\xa4\x93 #RahulGandhi #CongressHaiNa #ModiMehangaPada #AbHogaNYAY #HogiCongressKiJeet #BattleOf2019 #LokSabhaElections2019 https://t.co/Rob1I9Bhux""",Kalyan,2588832149,Sanglespeaks,1
2019-04-30 09:45:30,"b""Priyanka dismisses allegations over Rahul's citizenship\n#PriyankaGandhi #RahulGandhi\n #Amethi #citizenship #Congress #NPNEWS24 #npnews24 @priyankagandhi @RahulGandhi \n\nhttps://t.co/1BgiqqlP6a https://t.co/7TqzEkwgGj""","Pune, India",1016560542486441984,npnews24x7,0
2019-04-30 07:32:43,"b'@sadhavi #KangnaRanaut got awarded for her  performance not because #Congress wanted to award her... and in that case..  #JawaharlalNehru got Bharat Ratna when he was in power, #IndiraGandhi got Bharat Ratna when she was in power... Dose this fact affect their credibility.. no right'"," Pune,Maharashtra India",137278822,ImSourabhVD,0
2019-04-30 07:01:27,"b'Tharoor can travel to US, says Delhi court\n#abroad #Congress #Court #ShashiTharoor #SunandaPushkar #US #NPNEWS24 #npnews24 @ShashiTharoor \n\nhttps://t.co/3acUQrJxOc https://t.co/65jA1KcANz'","Pune, India",1016560542486441984,npnews24x7,0
2019-04-30 06:26:27,b'MHA issues notice to Rahul over his British citizenship\n#BJP #Britishcitizenship #Congress #MHA #notice #RahulGandhi #NPNEWS24 #npnews24 @RahulGandhi \n\nhttps://t.co/CLOTkoTg3B https://t.co/LgfzoUK33o',"Pune, India",1016560542486441984,npnews24x7,0
2019-04-30 04:53:21,"b'By fielding a dismissed Soldier for Lok Sabha Polls, does #SamajwadiParty #BahujanSamajParty &amp; #Congress hope to project their love and respect for a #ServingSoldier or a #Veteran????? Only they can answer. Jai Hind https://t.co/cTRj5ttIKd'",Pune,469987004,Vickypats66,1
2019-04-30 04:09:52,"b'#ElectionCommissionOfIndia @BJP4India @INCIndia \nSongs with #Phool &amp; #Hath are sacrilegious in election period\nBhajipala, Bhajiya, Bhajan smell of #BJP\nHandshake, Handy, Hand \xf0\x9f\x96\x90 in gloves, handiwork, hand wash smell of #Congress \nBan in official parlance\n#Tagore play #TasherDesh'",Aurangabad,150686730,bhatta_agd,0
2019-04-29 21:03:06,"b'@TajinderBagga As a great person once said, \xe2\x80\x9cI will not even hire him as my clerk!\xe2\x80\x9d @RahulGandhi \nAnd he\xe2\x80\x99s heading @INCIndia ... Says a lot about where the #Congress stands today.'","Pune, India",365653616,deven_sailor,0
2019-04-29 14:15:29,"b""In Bengal as TMC rules everything is fine. Isn't it very unfortunate for country #BharatBoleNaMoNaMo #ElectionCommissionOfIndia #BJP4India #Congress #AAP https://t.co/uw0EK6Gikc""","Pune, India",311461833,Ervipin83,0
2019-04-29 13:14:22,b'Shameless &amp; pathetic thing. Take strong action against such officers. \n#Congressisshit #Congress #Mumbai\n#electioncommision #nirvachanaayog\n@ECISVEEP \n\nhttps://t.co/GcvEy9HZ5p',"Pune, India",1114371674000875520,AdityaPatward12,1
2019-04-29 12:52:23,"b'Heard that the speech draft is in close to getting finalized by the high command. It reads : ""Theek hai""\n\nPriyanka Vadra backs away, Manmohan Singh to campaign for Congress https://t.co/jO60JuIJ5C #Congress #ManmohanSingh #PriyankaVadra via @rightlog_in'",Pune,143028805,parag_agrawal,0
